,Country,Risk,Code,Category,No Abuse
0,Afghanistan,0.010545462430095286,AFG,abuse,attacks
1,Albania,1.1181366296675663,ALB,abuse,anonymizers
2,Algeria,0.1584003989350397,DZA,abuse,spam
3,American Samoa,0.45073469755701795,ASM,abuse,anonymizers
4,Andorra,3.3374022803417915,AND,malware,malware
5,Angola,0.017299711695273726,AGO,abuse,spam
6,Antigua and Barbuda,5.483663253224768,ATG,abuse,anonymizers
7,Argentina,0.4367056406204973,ARG,attacks,attacks
8,Armenia,0.8415272703619787,ARM,abuse,attacks
9,Aruba,2.144645472152676,ABW,malware,anonymizers
10,Australia,0.5089153413187842,AUS,abuse,attacks
11,Austria,0.6716372950627425,AUT,abuse,attacks
12,Azerbaijan,1.0273241675445623,AZE,spam,spam
13,Bahrain,2.0593345775146408,BHR,reputation,reputation
14,Bangladesh,0.134547179854855,BGD,abuse,anonymizers
15,Barbados,1.0500940200459807,BRB,abuse,anonymizers
16,Belarus,1.1349037350720361,BLR,abuse,spam
17,Belgium,0.46523974467670826,BEL,abuse,attacks
18,Belize,6.886451858793801,BLZ,abuse,attacks
19,Benin,0.05171941815132162,BEN,abuse,attacks
20,Bermuda,1.6101800900450225,BMU,abuse,anonymizers
21,Bhutan,0.12725445854553455,BTN,abuse,attacks
22,Bolivia,0.18074291680664262,BOL,abuse,spam
23,Bosnia and Herzegovina,0.5734177835928506,BIH,abuse,attacks
24,Botswana,0.2577495667944028,BWA,abuse,attacks
25,Brazil,0.7769681493185449,BRA,attacks,attacks
26,British Virgin Islands,10.200657673981611,VGB,reputation,reputation
27,Bulgaria,1.289966026101703,BGR,abuse,attacks
28,Burkina Faso,0.008151265205463777,BFA,abuse,anonymizers
29,Burundi,0.009932549932539194,BDI,abuse,attacks
30,Cabo Verde,0.21884373270169022,CPV,abuse,anonymizers
31,Cambodia,0.43317461546291225,KHM,abuse,anonymizers
32,Cameroon,0.1583106948114423,CMR,abuse,spam
33,Canada,1.1684656428681985,CAN,abuse,attacks
34,Cayman Islands,2.2127341290865457,CYM,abuse,anonymizers
35,Central African Republic,0.0032144852419768058,CAF,abuse,anonymizers
36,Chad,0.0032304434927270765,TCD,abuse,attacks
37,Chile,0.41779770155201834,CHL,abuse,attacks
38,China,0.16217572680993445,CHN,attacks,attacks
39,Colombia,0.2858685985338786,COL,abuse,attacks
40,Comoros,0.03243936841751149,COM,abuse,anonymizers
41,Costa Rica,0.24382725988765544,CRI,abuse,attacks
42,Croatia,0.6032669829314814,HRV,abuse,spam
43,Cuba,0.008290602919103648,CUB,abuse,spam
44,Cyprus,0.8686037174221053,CYP,abuse,reputation
45,Denmark,0.7477430578913542,DNK,abuse,attacks
